idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
449,Troubles de la douleur affectant le cou,"[« Douleur du cou », « Mal de tête », « Douleur du dos », « Perte de sensation », « Rigidité du cou ou oppression », « Douleur du cou », « Douleur du dos faible », « Vertiges », « Douleur du bras », « Paresthésie », « Insomnie », « Perturbation de la mémoire »]","tizanidine,","['Exercices de thérapie physique (exercices)', 'imagerie par résonance magnétique (Mri)', 'Tomographie calculée par rayons X (Scan ct)', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Insertion du cathéter ou du stimulateur de la colonne vertébrale et injection dans le canal spinal', 'Autres procédures thérapeutiques', 'CAT scan of head (Head ct)']","['Triamcinolone Topal Product', 'Tizanidine', 'Sumatriptan (Imitrex)', 'Topiramate (Topamax)', 'Bupivacaine', 'Propranolol', 'Ropivacaine', 'Nortriptyline', 'Metaxalone (Skelaxin)']"
450,Tuberculose,"['Toux', 'Shortness of breath', 'Sweating', 'Congestion dans la poitrine', 'Hemoptysis', 'Sèche-épice, pelage, écaillement, ou rugosité', 'Drainage dans la gorge', 'Huttes à respirer', 'Itchiness of eye', 'Back crampes or spasms', 'Vaginal démangeaisons']","La tuberculose, le MTB ou la tuberculose (à court terme pour le bacille tuberculeux) est une maladie infectieuse létale causée par diverses souches de mycobactéries, généralement Mycobacterium tuberculosis. La tuberculose attaque généralement les poumons, mais peut également affecter d'autres parties du corps. Elle se propage dans l'air lorsque les personnes qui ont une infection active à la tuberculose tousse, éternue ou d'une autre manière transmettent des fluides respiratoires dans l'air. La plupart des infections sont asymptomatiques et latentes, mais environ une infection sur dix progresse finalement vers une maladie active qui, si elle n'est pas traitée, tue plus de 50 % des personnes infectées.","[«Procédure d'imagerie par radiographie», «rayon X delain (rayon X)», «Examen physique complet de la peau effectué (ML)», «Autres procédures de diagnostic sur la peau et le tissu sous-cutané», «Plaque lipide», «Autres procédures de diagnostic (entrevue; évaluation; consultation)», «Thyroïdectomie; partielle ou complète»]","['Isoniazid', 'Pyridoxine', 'Rifampin', 'Ethambutol', 'Pyrazinamide', 'Emtricitabine-Ténofovir', 'Kaletra', 'Ritonavir (Norvir)', 'Rifabutin', 'Saquinavir']"
451,Fistule pelvienne,"['Décharge vaginale', 'Grossissements', 'Saignement ectal', 'Malheur au dos', 'Grossesse récente', 'Fainte', 'Heartburn', 'Crampes ou spasmes d'Elbow', 'Nailbiting', 'Démangeaisons de scrotum', 'Gonflement musculaire', 'Faible faiblesse d'Elbow']","nitrofurantoïne,","['Examen du bassin', 'Electrocardiogramme', 'Autres procédures thérapeutiques des voies urinaires', 'Autres techniques de diagnostic et autres techniques connexes', 'Endoscopie et biopsie endoscopique des voies urinaires', 'Autres procédures thérapeutiques', 'Examen rectal']","['Cefdinir', 'Nitrofurantoïne', 'Varenicline (Chantix)', 'Hyoscyamine (A-Spas)', 'Phenazopyridine (Azo)', 'Estrogens, Conjugated (Usp) (Premarin)', 'Polyéthylène Glycol 3350 (Miralax)', 'Methylphénidate', 'Mecamylamine']"
452,Bronchiolite aiguë,"['Toux', 'Fièvre', 'Gonflement nasal', 'Wheezing', 'Difficulté à respirer', 'Vomissement', 'Coryza', 'Essoufflement', 'Attention réduite', 'Enfant irritable', 'Pulling at ears', 'Hurts à respirer']","La bronchiolite est une inflammation des bronchioles, les plus petits passages d'air des poumons. Elle se produit habituellement chez les enfants de moins de deux ans, la majorité étant âgée de trois à six mois. Elle présente une toux, une respiration sifflante et un essoufflement qui peuvent causer des difficultés à nourrir certains enfants. Cette inflammation est habituellement causée par le virus respiratoire syncytial (70 % des cas) et est beaucoup plus fréquente pendant les mois d'hiver. Le traitement est généralement favorable et peut impliquer l'utilisation d'épinéphrine nébulisée ou de saline hypertonique. La bronchiolite est commune avec un tiers des enfants atteints au cours de leur première année de vie.","['Procédure d'imagerie radiographique', 'rayon X de Plain (rayon X)', 'Traitement Nebulizer', 'Test d'anticorps contre le virus de l'influenza', 'Culture Blood', 'Autres thérapies respiratoires', 'Autres procédures du système nerveux thérapeutique OU']","['Albuterol', 'Prednisolone', 'Levalbuterol (Xopenex)', 'Budesonide', 'Cefprozil', 'Phenylephrine Nasal', 'Cefotaxime', 'Gentamicines (Gentamicine)']"
453,Presbyopie,"['Vision diminuée', 'Symptômes de l'œil', 'Spots ou nuages dans la vision', 'Itchiness of eye', 'Eye redness', 'Pain in eye', 'Eye brûle ou pique', 'Foreign body sensation in eye', 'Lacrimation', 'Movement abnormal de la paupière', 'Mass on paupière', 'Difficulté à parler']","Les mécanismes exacts de la Presbyopia\x2\x80\x99s ne sont pas connus avec certitude; les preuves de la recherche soutiennent le plus fortement une perte d'élasticité de la lentille cristalline, bien que des changements dans la courbure de la lentille\x2\x80\x99s due à la croissance continue et à la perte de puissance des muscles ciliaires (les muscles qui plient et redressent la lentille) aient également été postulés comme leur cause. Comme les cheveux gris et les rides, la Presbyopia est un symptôme causé par le cours naturel du vieillissement.","['Diagnostic et traitement ophtalmologiques et otologiques', 'Examen et évaluation ophtalmiques (examen Eye)', 'Autres procédures thérapeutiques sur paupières; conjonctiva; cornée', 'Lens et procédures de cataracte']","['Tropicamide Ophtalmic', 'Phenylephrine (Duramax)', 'Prednisolone Ophtalmic', 'Fluorescein', 'Olopatadine Ophtalmic', 'Kétotifen Ophtalmic', 'Nepafenac Ophtalmic', 'Cyclosporine Ophtalmic', 'Proparacaine Ophtalmic', 'Emtricitabine-Ténofovir', 'Tipranavir', 'Rimexolone Ophtalmic']"
454,Démence,"['Disturbance de la mémoire', 'Problèmes avec mouvement', 'Doublissements', 'Symptômes dépressifs ou psychotiques', 'Mouvements involontaires anormaux', 'Paresthésie', 'Comportement hospitalier', 'Déliciations ou hallucinations', 'Difficulté à parler', 'Insomnie', 'Disturbance de l'odeur ou du goût', 'Faiblesse focale']","La démence (tirée du latin, qui signifie à l'origine ""madeness"", du de- ""sans"" + ment, la racine des hommes ""esprit"") est une perte grave de la capacité cognitive globale chez une personne auparavant non altérée, au-delà de ce que l'on peut attendre d'un vieillissement normal. Elle peut être statique, le résultat d'une lésion cérébrale globale unique, ou progressive, entraînant un déclin à long terme en raison de dommages ou de maladies dans le corps. Bien que la démence soit beaucoup plus fréquente dans la population gériatrique, elle peut se produire avant l'âge de 65 ans, auquel cas elle est appelée ""démence précoce"".","['Electrocardiogramme', 'Tomographie à rayons X (Scan ct)', 'Conseils de santé mentale', 'Plaque lipide', 'Exercises de thérapie physique (exercices)', 'Évaluation de la thérapie professionnelle (Traitement de la parole)', 'CAT scan de la tête (tête ct)']","['Donepezil (Aricept)', 'Memantine (Namenda)', 'Rivastigmine (Exelon)', 'Galantamine', 'Mirtazapine', 'Thiamine', 'Pramipexole (Mirapex)', 'Felodipine', 'Bisacodyl (The Magic Bullet)', 'Modafinil (Provigil)', 'Raloxifène (Evista)']"
455,Morsure d'insectes,"['Éruption cutanée', 'Peau apparente anormale', 'Démangeaisons de la peau', 'Gonflement de la peau', 'Lésion cutanée', 'Œdème périphérique', 'Gonflement de la main ou du doigt', 'Gonflement des bras', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau', 'Gonflement de la peau']","Certains insectes injectent de l'acide formique, ce qui peut provoquer une réaction cutanée immédiate entraînant souvent une rougeur et un gonflement dans la région blessée. Les piqûres de fourmis, d'abeilles, de guêpes et de frelons sont habituellement douloureuses et peuvent stimuler une réaction allergique dangereuse appelée anaphylaxie pour les patients à risque, et certaines guêpes peuvent également avoir une forte morsure avec une piqûre. Les piqûres de moustiques et de puces sont plus susceptibles de provoquer des démangeaisons que la douleur.","['Examen physique complet de la peau effectué (ML)', 'Gestion des soins de la plaie', 'Culture bled', 'Incision et drainage (I d)', 'Exemption non-opératoire du corps étranger']","['Diphénhydramine (Benadryl)', 'Hydrocortisone Tophal', 'Doxycycline', 'Mupirocin Tophal', 'Permethrine Tophal', 'Calamine Tophal', 'Colloidal Oatmeal Tophal', 'Trimethoprim', 'Desoximetasone Tophal', 'Calamine-Pramoxine Tophal']"
456,Tachycardie ventriculaire paroxystique,"[Soufflement du souffle, douleurs thoraciques, étourdissements, palpitations, peur, battements de cœur irréguliers, fatigue, augmentation de la fréquence cardiaque, oppression, gain de poids, diminution de la fréquence cardiaque, mots lugubres]",VT ou Vt peuvent se référer à:,"['Electrocardiogramme', 'Remplacement de liquide intraveineux', 'Electrolytes panel', 'Autres procédures de diagnostic (entrevue; évaluation; consultation)', 'Mesure des enzymes cardiaques (test des enzymes cardiaques)', 'Tests de la fonction Kidney (test de la fonction Kidney)', 'Surveillance cardiaque (surveillance cardiaque)']","['Carvedilol', 'Amiodarone', 'Digoxin', 'Spironolactone', 'Isosorbide', 'Ezétibibe (Zétia)', 'Sotalol', 'Metolazone', 'Torsemide', 'Mexilétine', 'Adénosine']"
457,Défaut cardiaque congénital,"[« Douleur thoracique aiguë », « Lac de croissance », « Lymphédème », « Gonflement des bras », « Problèmes d'alimentation infantile », « Mots lugubres », « Bouton du ventre irrégulier », « yeux croisés », « crampes ou spasmes du cou », « Ralentissement de la fréquence cardiaque », « appétit excessif », « raideur des mains ou des doigts »]","Un défaut cardiaque congénital (CHD) est un défaut dans la structure du cœur et de grands vaisseaux qui est présent à la naissance. De nombreux types de défauts cardiaques existent, dont la plupart obstruent le flux sanguin dans le cœur ou les vaisseaux près de lui, ou font couler le sang dans le cœur dans un motif anormal. D'autres défauts, comme le syndrome de QT long, affectent le rythme du cœur. Les défauts cardiaques sont parmi les défauts de naissance les plus courants et sont la principale cause de décès liés aux défauts de naissance. Environ 9 personnes sur 1000 sont nées avec un défaut cardiaque congénital. Beaucoup de défauts n\'ont pas besoin de traitement, mais certains défauts cardiaques congénitales complexes nécessitent des médicaments ou une chirurgie.","['Procédure d'imagerie radiographique', 'Electrocardiogramme', 'Ultrasonographie (Ultrasound)', 'Echocardiographie', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Tests de stress cardiaque', 'Autres procédures thérapeutiques']","['Digoxine', 'Captopril', 'Palivizumab (Synagis)', 'Chlorothiazide', 'Treprostinil (Remodulin)', 'Procainamide', 'Ambrisentan (Letairis)', 'Haemophilus B Conjugate (Prp-T) Vaccin', 'Bosentan (Tracleer)', 'Entecavir (Baraclude)', 'Facteurs antihémophiles (Obsolète)', 'Pyrithione Zinc Topical']"
458,Affections des tissus conjonctifs,"['Souffrance commune', 'Eruption cutanée', 'Fatigue', 'Maladie des pieds ou des pieds', 'Fièvre', 'Sentiment malade', 'Paresthésie', 'Maladie partout', 'Maladie des bras', 'Headache', 'Lymphédème', 'Difficulté à avaler']","Une maladie du tissu conjonctif est toute maladie qui a les tissus conjonctifs du corps comme cible de pathologie. Le tissu conjonctif est tout type de tissu biologique avec une matrice extracellulaire étendue qui soutient, se lie et protège les organes. Ces tissus forment un cadre, ou matrice, pour le corps, et sont composés de deux molécules principales de protéines structurelles: le collagène et l'élastine. Il existe de nombreux types différents de protéines de collagène dans chacun des tissus du corps. L'élastine a la capacité de s'étirer et de revenir à sa longueur initiale\xe2\x80\x94 comme un ressort ou une bande de caoutchouc. L'élastine est la composante principale des ligaments (tissus qui attachent l'os à l'os) et de la peau.","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Complete physique de la peau réalisée (ML)', 'Lipide panel', 'Examination du pied', 'Exercices de thérapie physique (Exercices)', 'Referral to home health service']","['Hydroxychloroquine (Plaquenil)', 'Prednisone', 'Azathioprine', 'Mycophénolate Mofétil (Cellcept)', 'Methotrexate', 'Ergocalciferol', 'Rabeprazole (Aciphex)', 'Celecoxib (Celebrex)', 'Hydrocortisone Topical', 'Armodafinil (Nuvigil)', 'Pilocarpine Ophtalmic', 'Pirbuterol (Maxair)']"
459,Corps étranger dans l'œil,"['Pain dans les yeux', 'Eye redness', 'Foreign body sensation in eye', 'Eye brûlures ou piqûres', 'Lacrimation', 'Symptômes de l'œil', 'Swollen eye', 'Itchiness of eye', 'White flow from eye', 'Anormal movement of eyelide', 'Eyelid liesion or rash', 'Eyelid gonflement']","proparacaine ophtalmique,","['Enlèvement non-opératoire du corps étranger', 'Gestion des soins auditifs', 'Autres procédures thérapeutiques sur paupières; conjonctiva; cornée', 'Autres procédures thérapeutiques intraoculaires']","['Tétracaïne (One Touch)', 'Proparacaine Ophtalmic', 'Gentamicine Ophtalmic', 'Erythromycine', 'Fluorescein Ophtalmic', 'Erythromycine Ophtalmic', 'Sulfacetamide Ophtalmique de sodium', 'Tobramycine Ophtalmic', 'Moxifloxacine (Avelox)', 'Tobramycine (Tobi)', 'Ciprofloxacine Ophtalmic', 'Dexaméthasone-Tobramycine Ophtalmic']"
460,Empoisonnement dû au gaz,"[Soufflement du souffle, Toux, Nausea, Mal de tête, Douleur thoracique, Congestion nasale, Vertiges, Respiration difficile, Mal de gorge, Volaille, Fièvre, Drainage dans la gorge]","Ce type de guerre est distinct de la guerre nucléaire et de la guerre biologique, qui constituent ensemble la CCBN, acronyme militaire pour les armes nucléaires, biologiques et chimiques (guerre ou armes), toutes considérées comme des « armes de destruction massive » (ADM). Aucune de ces armes ne relève du terme d'armes conventionnelles qui sont principalement efficaces en raison de leur potentiel de destruction. La guerre chimique ne dépend pas de la force explosive pour atteindre un objectif. Elle dépend plutôt des propriétés uniques de l'agent chimique armé. Un agent mortel est conçu pour blesser ou invalider l'ennemi, ou pour refuser l'utilisation sans entrave d'une zone de terrain donnée. Les défoliants sont utilisés pour tuer rapidement la végétation et refuser son utilisation pour la couverture et la dissimulation. Il peut également être utilisé contre l'agriculture et le bétail pour promouvoir la faim et la famine. Avec l'équipement de protection approprié, la formation et les mesures de décontamination, les effets primaires des armes chimiques peuvent être surmontés.","['Plain x-ray (rayon X)', 'Electrocardiogramme', 'Remplacement de liquide intraveineux', 'Nebulizer treaking', 'Kidney fonction test (Kidney fonction test)', 'Cardiac enzymes measuring (Cardiac enzymes test)', 'Arterial sang gas (ABGs)']","['Cefaclor (Ceclor)', 'Benzocaine Topical', 'Claritin D', 'Sodium Bicarbonate', 'Tétracaine (One Touch)', 'Atropine (Uaa)']"
461,Infections cutanées pyrogéniques,"['Peau apparente anormale', 'Lésion de peau', 'Lég douleur', 'Éruption cutanée', 'Gonflement de peau', 'Gonflement de peau ou d'orteil', 'Peau sur la jambe ou le pied semble infectée', 'Oedème périphérique', 'Gonflement de peau', 'Gonflement de main ou de doigt', 'Gonflement de main ou de doigt', 'Gonflement de peau ou d'orteil']","Pyoderma désigne toute maladie de la peau qui est pyogène. Il s'agit notamment d'infections bactériennes superficielles telles que l'impétigo, l'impétigo contagiosa, l'ecthyme, la folliculite, l'impétigo de Bockhart, le furoncle, le carbuncle, l'ulcère tropical, etc. Les affections auto-immunes comprennent la pyoderma gangrenosum.","['Gestion des soins de la plaie', 'Remplacement de liquide intraveineux', 'Examen physique complet de la peau effectué (ML)', 'Incision et drainage (I d)', 'Culture blessure', 'Blood culture', 'Examination du pied']","['Bactrim', 'Cephalexin', 'Clindamycin', 'Vancomycin', 'Mupirocin Topical', 'Rifampin', 'Dicloxacillin', 'Trimethoprim', 'Cefadroxil', 'Sulfamethoxazole (Bactrim)', 'Linezolid (Zyvox)', 'Oxacillin']"
462,Hyperplasie endométriale,"['Saignement vaginal après la ménopause', 'flux menstruel lourd','menstruation imprévisible', 'urine involontaire', 'décharge vaginale', 'douleur pelvienne', 'pous dans l'expectoration', 'gonflement musculaire', 'Crampes ou spasmes d'Elbow', 'taille ou forme anormale de l'oreille', 'faiblesse du dos', 'faible faiblesse du dos']",L'hyperplasie endométriale est une condition de prolifération excessive des cellules de l'endomètre ou de la paroi interne de l'utérus.,"['Examen du bassin', 'Biopsy', 'Examen physique complet de la peau effectué (ML)', 'Excision (Suppression)', 'Ultrasonographie (Ultrasound)', 'Examination du sein', 'Autres procédures de diagnostic; organes féminins']","['Medroxyprogestérone', 'Megestrol (Megace)', 'Estradiol', 'Cefazolin', 'Allopurinol', 'Sorbitol', 'Misoprostol', 'Indapamide', 'Chlorpromazine (Thorazine)', 'Calcium Acetate', 'Valproic Acid', 'Terconazole Topical']"
463,Acanthosis nigricans,"[« gain de poids », « lésion de la peau », « réaction allergique », « acné ou boutons », « infertilité », « croissance de la peau », « douleur ou douleur du sein », « taupes de la peau », « cheveux non désirés », « rétention de liquide », « Apnée », « Warts »]","L'acanthosis nigricans est une hyperpigmentation brune à noire, mal définie, veloutée de la peau. Il se trouve habituellement dans les plis du corps, tels que les plis postérieurs et latéraux du cou, l'axille, l'aine, l'ombilicus, le front et d'autres zones.","['Examen physique complet de la peau effectué (LM), 'Tests hématologiques (Test de sang)', 'Plage lipide', 'Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)', 'Mesure du glucose (Niveau de glucose)', 'Criblage de dépression (Criblage de dépression)', 'Examination du sein']","['Tretinoin Topical', 'Budesonide', 'Alfuzosin (Uroxatral)', 'Human Papillomavirus Vaccin (Hpv)', 'Balsalazide', 'Benzoyl Peroxide-Erythromycine Topical', 'Barium Sulfate', 'Tacrolimus Topical Product', 'Lactic Acid Tophal', 'Multivamine with Minerals', 'Nonoxynol 9 Topical', 'Levonorgestrel']"
464,Athérosclérose centrale,"[« Essoufflement », « Fatigue », « Blood in urining », « Urinations excessives la nuit », « Gain de poids », « Symptômes des reins », « Douleur musculaire », « battements cardiaques irréguliers », « Augmentation de la fréquence cardiaque », « Crampes ou spasmes des mains ou des doigts », « œdème périphérique », « Douleur commune »]","clopidogrel (plavix),","['Procédure d'imagerie radiographique', 'Ultrasonographie (Ultrasound)', 'Electrocardiogramme', 'Lipide panel', 'Echocardiographie', 'Artério- ou venogramme (pas cœur et tête)', 'Autres procédures de diagnostic (entrevue; évaluation; consultation)']","['Simvastatin', 'Clopidogrel (Plavix)', 'Hydralazine', 'Carvedilol', 'Losartan', 'Rosuvastatin (Crestor)', 'Diltiazem', 'Olmesartan (Benicar)', 'Fénofibrate (Trctor)', 'Lovastatin', 'Tacrolimus (Prograf)', 'Lactulose']"
465,Exanthème viral,"['Éruption cutanée', 'Fièvre', 'Toux', 'Gonflement nasal', 'Vomissement', 'Peau anormale apparaissant', 'Démangeaisons de peau', 'Atténuation réduite', 'Pulling aux oreilles', 'Gonflement de la peau', 'Lip mal', 'Syndrome du rhume']","Un exanthème (du grec ""exanthème"", un éclat) est une éruption cutanée généralisée qui se produit généralement chez les enfants. Les exanthèmes peuvent être causés par des toxines ou des médicaments, des micro-organismes, ou peuvent résulter d'une maladie auto-immune.","[«Examen physique complet de la peau effectué (ML)», «Autres procédures de diagnostic (entrevue; évaluation; consultation)»]","['Diphénhydramine (Benadryl)', 'Calamine Topical', 'Coal Tar Topical', 'Colloidal Oatmeal Topical', 'Stavudine (Zerit)', 'Palivizumab (Synagis)', 'Dextrométhorphane (Duramax)', 'Lamivudine']"
466,Blastomycose,"['Paine dans les yeux', 'Crampes ou spasmes de soudeur', 'douleur faciale', 'douleur de cheville', 'douleur de poignet', 'douleur pendant la grossesse', 'Viande excessive', 'Rigidité ou oppression commune', 'douleur ou douleur du sein', 'Glisse ou masse de knee', 'Fatigue', 'Urination excessive la nuit']","La blastomycose (également connue sous le nom de « blastomycose nord-américaine », « dermatite blastomycétique » et « maladie de Gilchrist ») est une infection fongique causée par l'organisme Blastomyces dermatitidis. Endémique dans certaines parties de l'Amérique du Nord, la blastomycose provoque des symptômes cliniques semblables à l'histoplasmose.","['Transgression cornéenne', 'Résection transuréthrale de la prostate (TURP) (Turp)', 'Thrombolyse coronaire', 'Contrôle de l'épistaxis', 'TCT scan abdominal (Ct of abdominal)', 'Procédures sur la rate (Operation de la rate)', 'Transplantation de moelle osseuse (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycine', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacine (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globuline (Thymoglobuline)', 'Acide Iopanoïque', 'Estrogènes conjugués topiques', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
467,Gastroentérite non infectieuse,"['Vomissement', 'Diarrhée', 'Nausée', 'Sharp abdominal pain', 'Fièvre', 'Soufflement abdominal de brûlure', 'Headache', 'Blood in selles', 'Decreased appétit', 'Chills', 'Fluide rétention', 'Saignement rectal']","prométhazine,","['Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Remplacement de liquide intraveineux', 'Urinalyse', 'Tests de fonction de Kidney (Test de fonction de Kidney)', 'Mesure du glucose (Niveau de glucose)', 'Electrolytes panel']","['Ondansetron (Zofran)', 'Promethazine', 'Loperamide (Imodium)', 'Dicyclomine', 'Trimethobenzamide (Tigan)', 'Hyoscyamine (A-Spas)', 'Mesalamine (Asacol)', 'Bismuth Subsalicylate (Pepto-Bismol)', 'Balsalazide']"
468,Hyperplasie prostatique bénigne (HBP),"['Retention de l'urine', 'Symptômes de la prostate', 'Uinations fréquentes', 'Blood in urining', 'Uinations excessives la nuit', 'Impotence', 'Uinations involontaires', 'Symptômes de la vessie', 'Paine dans les testicules', 'Hesitancy', 'Gonflement du scrotum', 'Faible sortie d'urine']",BPH peut se référer à:,"[«Urinalysis», «Tests hématologiques (Test Blood)», «Mesure de l'antigène spécifique à la production (Test de l'antigène spécifique à la production)», «Examen de la végétation», «Ultrasonography (Ultrasound)», «Lipid panel», «Autres procédures diagnostiques (entrevue; évaluation; consultation)»]","['Tamsulosin (Flomax)', 'Finasteride (Propecia)', 'Dutasteride (Avodart)', 'Doxazosin', 'Terazosin', 'Alfuzosin (Uroxatral)', 'Sildenafil (Viagra)', 'Tadalafil (Cialis)', 'Vardenafil (Levitra)', 'Testostérone', 'Solifenacin (Vesicare)', 'Silodosin (Rapaflo)']"
469,Ménopause,"['Hot clignote', 'Inprévisible menstruation', 'Sweating', 'Pelvic pain', 'Long menstruations', 'Urination involontaire', 'Sèchement vaginal', 'Démangeaisons vaginales', 'Poids gain', 'Moyenne menstruelle élevée', 'Perte de sex drive', 'Absence de menstruation']","La ménopause désigne littéralement la « fin des cycles mensuels » (la fin des menstruations mensuelles), à partir du mot grec « pausis » (cessation) et des hommes-racines (mois). La ménopause est un événement qui se produit habituellement (mais pas toujours) chez les femmes en milieu de vie, à la fin des années 40 ou au début des années 50, et qui indique la fin de la phase fertile de la vie d'une femme. Cependant, plutôt que d'être définie par l'état de l'utérus et l'absence de flux menstruel, la ménopause est plus précisément définie comme la cessation permanente des fonctions primaires des ovaires : la maturation et la libération des ovules et la libération des hormones qui provoquent à la fois la création de la doublure utérine et l'effusion subséquente de la doublure utérine (a.k.a. les menstruations ou la période).","['Examen du bassin', 'Examen du sein', 'Procédure d'imagerie radiographique', 'Mammographie (Mammographie)', 'Examen physique complet de la peau (ML)', 'Examen rectal', 'Lipide panel']","['Estradiol', 'Estrogens, Conjugated (Usp) (Premarin)', 'Progestérone', 'Raloxifène (Evista)', 'Ibandronate (Boniva)', 'Thyroid (Usp) (Armour Thyroïde)', 'Black Cohosh Extract (Black Cohosh)', 'Valerian Root Extract']"
470,Immunodéficience primaire,"['Fatigue', 'Toux', 'Céphalée faciale', 'Sinus douloureux', 'Souffrance abdominale supérieure', 'Atténuation diminuée', 'Rigence des bras ou oppression', 'irritation cutanée', 'Malheur commune', 'problèmes températifs', 'Urgescence de Mouth', 'Langeur de loupe']","Les immunodéficiences primaires sont des troubles dans lesquels une partie du système immunitaire de l'organisme est manquante ou ne fonctionne pas correctement. Pour être considéré comme une immunodéficience primaire, la cause de l'insuffisance immunitaire ne doit pas être de nature secondaire (c.-à-d., causée par d'autres maladies, un traitement médicamenteux ou une exposition environnementale aux toxines). La plupart des immunodéficiences primaires sont des troubles génétiques; la majorité sont diagnostiqués chez les enfants de moins d'un an, bien que des formes plus douces ne soient pas reconnues avant l'âge adulte.","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Complete physical skin exestering (ML)', 'Electrolytes panel', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Hémoglobine A1c measurement (Hémoglobine a1c test)', 'Magnetic resonance imagerie (Mri)']","['Bactrim', 'Immunoglobulines, intraveineuses (Gammagard)', 'Immunoglobuline intramusculaire (Baygam)', 'Fluconazole (Diflucan)', 'Methotrexate', 'Mycophénolate Mofétil (Cellcept)', 'Budesonide', 'Levetiracetam (Keppra)', 'Voriconazole', 'Vincristine', 'Filgrastim (Neupogen)', 'Doxorubicine']"
471,Cancer de l'ovaire,"['Sharp abdominal pain', 'Attention diminuée', 'Conservation des fluides', 'Regirgation', 'Stomach bloating', 'Groin masse', 'Symptômes des reins', 'Difficile à manger', 'Absence de menstruation']","Le cancer de l'ovaire est une croissance cancéreuse découlant de l'ovaire. Les symptômes sont souvent très subtils tôt et peuvent inclure: ballonnement, douleur pelvienne, difficulté à manger et miction fréquente, et sont facilement confondus avec d'autres maladies.","['Tests hématologiques (Test de sang)', 'Complete hémorragique (Cbc)', 'Pelvis exam', 'Glucose measurement (Glucose level)', 'Complete physical skin exam (ML)', 'Electrolytes panel', 'X-ray calculed tomographie (Scan ct)']","['Paclitaxel (Taxol)', 'Carboplatine', 'Dexaméthasone Topical Product', 'Gemcitabine (Gemzar)', 'Dexaméthasone', 'Palonosetron (Aloxi)', 'Prochlorperazine (Compro)', 'Granisetron', 'Topotecan', 'Darbepoetin Alfa (Aranesp)', 'Enoxaparine (Lovenox)', 'Filgrastim (Neupogen)']"
472,Cataracte,"['Vision diminuée', 'Spots ou nuages dans la vision', 'Symptômes de l'œil', 'Paine dans l'œil', 'Lacrimation', 'Itchiness of eye', 'Blindness', 'Foreign body sensation in eye', 'Eye brulures ou piqûres', 'Double vision', 'Cloudy eye', 'Abnormal movement of eye']",Une cataracte est un brouillage de la lentille à l'intérieur de l'œil qui conduit à une diminution de la vision. C'est la cause la plus commune de cécité et est traité conventionnellement par la chirurgie. Perte visuelle se produit parce que l'opacification de la lentille empêche la lumière de passer et d'être concentré sur la rétine à l'arrière de l'œil.,"[«Procédures de détection et de cataracte», «Examen et évaluation ophtalmiques (examen Eye)», «Diagnostic et traitement ophtalmologiques et otologiques», «Autres procédures thérapeutiques sur paupières; conjonctiva; cornée», «Procédures diagnostiques sur paupières», «Autres procédures thérapeutiques intraoculaires», «Procédures Glaucoma»]","['Prednisolone Ophtalmic', 'Tropicamide Ophtalmic', 'Phenylephrine (Duramax)', 'Moxifloxacine (Avelox)', 'Latanoprost', 'Gatifloxacine (Zymar)', 'Proparacaine Ophtalmic', 'Brimonidine Ophtalmic', 'Bimatoprost Ophtalmic', 'Propofol', 'Nepafenac Ophtalmic', 'Travoprost (Travatan)']"
